影片 ID,Song Title,Album Title,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5
ypD4PN626zI,4T Recordings,Sixteen Oceans,Four Tet,,,,
4zaRsNzKzcQ,4U,4U,万妮达,,,,
T-wrtBHG94c,852 Hz (Truth & Self-Awareness),Solfeggio Frequencies (Healing Tibetan Singing Bowls with Ambient Sounds of Nature),Subtle Mind Expansion,Kev Thompson,,,
s82EUdc2Des,人生模版,隐藏菜单,和平饭店,,,,
_zOeI7yj-oI,口是心非,如燕盤旋而來的思念 張雨生全創作精選典藏 1966-1997,張雨生,,,,
GpH4rRAEqYI,五元素净化咒 (念咒式纯音乐),平静心,周毛嘉,,,,
8CDk2baChyg,心静自然凉,我用什么把你留住,福禄寿,,,,
PCS3GZpitbA,月光下,月光,蛋堡,,,,
batbW2Ik8tU,兰若度母,我用什么把你留住,福禄寿,,,,
P4XuwuoIEDM,平衡,平衡,和平饭店,,,,
CVobcKf9nns,玉珍,我用什么把你留住,福禄寿,,,,
9OOm-zODOTU,在你走后,在你走后,Schoolgirl Byebye,Haysen郑景曦,,,
gPpuEYtAtm8,在时间的答案里,隐藏菜单,和平饭店,,,,
bG5KAtG_OQU,尾巴,平衡,和平饭店,,,,
WVXD3_nb0Yk,我想和你瞎 ft. 馬念先,水哥 2020,李英宏 aka DJ Didilong,,,,
fWfUhUvnpsE,沈澱,暗流,deca joins,,,,
W57Lm88NFZM,没咯,我用什么把你留住,福禄寿,,,,
RDJETsQwPZo,夜上海,金片子 2 魂縈舊夢 (Golden Voice 2),蔡琴 (Tsai Chin),,,,
90VBTdFzM2U,怪梦,怪梦,AM444,,,,
8PKBd6Y9oWI,雨中一只傻傻鸟,一年后,Schoolgirl Byebye,,,,
LUoYCsKsiI4,流星小夜曲,鴉片玫瑰,陳昇,,,,
HFuZ33kKFlw,看不見？,閉上眼睛,Hello Nico,,,,
vq2jzaSESLk,若是明仔載,自本,曹雅雯,?te 壞特,,,
5gLZnEDdHFE,夏夜晚風,夏夜晚風,Layton Wu,,,,
w_jtUvdBjFo,浪費時間 Waste Of Time,平庸之上 Beyond Mediocrity,9m88,,,,
3kYy-6a6MSY,浴室 (2019 Reprise),浴室 (2019 Reprise),deca joins,,,,
TQgFmA1Nnu4,真愛A感覺,魔鬼A春天,陳昇,,,,
NxcbxxU6saE,般若心経 (cho ver.) [2020 mix],般若心経 (Remixed) -Japanese Zen Music vol.1-,Kanho Yakushiji,,,,
JVRAdxbJFAs,般若波羅密多心經,懺悔心,黃慧音,,,,
dV8oS79hUbY,迷航,迷航,发光曲线,,,,
0rWpu415JlI,酒鬼,水哥 2020,李英宏 aka DJ Didilong,,,,
TF6yI5vUy9E,深夜， you were on my mind,9522,安溥,,,,
S5jlY6o093g,清,清,莉莉周她說 Lily Chou-Chou Lied,,,,
YQ5kW3o8Y0I,离骚 (李凤云传承),七弦·依脉,孔子文,,,,
DLX1F-_DIj0,陪你去流浪,塵,薛之謙,,,,
kC4mWbhiX_A,曾經我也想過一了百了,溫一壺青春下酒,流氓阿德,,,,
VZH8yOSi5_k,愛是,軟弱,Schoolgirl byebye,,,,
5Uu2offdztM,煎蛋,SOLO,Vinida,Dough-Boy,,,
iQpwEd-HSBQ,誰愛誰,骨子裡 (Innermost),Dizzy Dizzo,E.so,,,
9jJa5GKFfvE,黎明前出发,隐藏菜单,和平饭店,,,,
kZ3CUTnbCYA,讓我住進你心裡,Spring Spring,溫蒂漫步,,,,
hFJ_7_55tjQ,A Celtic Lore,Requiem,Adrian von Ziegler,,,,
CXge-r1uq4s,A Coin in Nine Hands,Sirens,Nicolas Jaar,,,,
zrVUJWKbSb4,A Dusty Place in the Head,Dopamine,Warmth,,,,
grx8xMyFO1k,A Place,All Melody,Nils Frahm,,,,
ZsIRi9sBx6I,A.O.E,Monument,Portico Quartet,,,,
p_zjqOre_fA,Adi Shakti - Bhakti Mantra,Shuniya: Healing Chants,Ajeet,,,,
h-XSA405U90,Agradezco,Templo de Amor,Xuqutopi,LovLenka,,,
xbJwhGpGdwk,Aguas Claras,Camino de Flores,El Búho,,,,
4r7GtSwuqrQ,Ahuahueya,Ahuahueya,Herbert Quinteros,,,,
-3xzAWsX3ok,AI敢會愛?,AI敢會愛?,Robot Swing,陳以恆,洪佩瑜,,
WnyIGRzN8HI,Ainda Lembro,DuBrazilis - Vol. 1,DuBrazilis,Nêgamanda,,,
aYW80yUekqk,Akasha Journey Mix,Kuya Sessions: Akasha,Poranguí,Liquid Bloom,,,
sICmV8-ffH4,Alaca Sunrise,Alaca Sunrise,Beautiful Momento,,,,
aNtZ_moUr7I,Ale (Acoustic),Ale,Alex Serra,Primavera Salvá,,,
Nr8DeYgWp4Y,Alegría (Nicola Cruz Remix),Bienaventuranza (Remixes),Chancha Vía Circuito,,,,
Hp2TUMVKXrA,All My Life is a Ceremony (Mose Remix),All My Life is a Ceremony (Mose Remix),Mose,Doe Paoro,,,
OwF-W2wcIoA,All Of Our Yesterdays,Here Comes The Cowboy,Mac DeMarco,,,,
yO8bFdtLd5c,Alquimia,Alquimia,Monblume,,,,
dUSh94WnlsU,Amoriri,KWO,Ape Chimba,Ebyän,,,
oxQlD9Yxxdo,Ancestors (Shamans Dream & Poranguí Remix),Ayahuasca Remixed,Poranguí,,,,
HLrqNhgdiC0,Angel,Mezzanine,Massive Attack,Horace Andy,,,
w3X3RAgSeXg,Anthurie,Feuerfalter Part 02,Boris Brejcha,,,,
kbS07PcnZzo,Are You Still Hurt,Sekundenschlaf,тпсб,,,,
I_to1eS8gtY,Arrival Of The Elves,Adventures in Synaptic Exploration,Byron Metcalf,,,,
W26NO6-sZzA,As Clouds Dance,Inner Rhythm Meditations: Music for Expansive Awareness and Inspired Movement,Byron Metcalf,,,,
HCHYDZlZFuo,At Les (Versus Beatless Versions),Versus Beatless Versions,Carl Craig,Francesco Tristano,François-Xavier Roth,Les Siècles,
Y3hACoprFOo,Available,Available,Patoranking,,,,
cBw9dNzDBfU,Aventine,Aventine,Agnes Obel,,,,
nLXKungkwFc,Awaken Me,7th Seed,万妮达,,,,
iDQk6LY_ef8,Baba City (Rkadash Version),Baba City (Remixes),Rey&Kjavik,,,,
eSqA5WXez2I,Bansuri Meditation,Bansuri Meditation,Buddha's Lounge,,,,
2RNMTmnnQ8c,Barú (El Búho Remix),Bienaventuranza (Remixes),Chancha Vía Circuito,,,,
nNsbMNaIxwM,Be Kind,Persona,Rival Consoles,,,,
fl9mfp25sb4,Beat Cari,Beat Cari,Cero39,,,,
aYYu1lO97SI,Beautiful Burnout,Oblivion With Bells,Underworld,,,,
rCfvCLpMHrc,Beautiful Order,隐藏菜单,和平饭店,,,,
FthxiJ73chY,Beirut,Diagnostic (Version remasterisée),Ibrahim Maalouf,,,,
haeov9TFHc8,Beirut,Young Alaska,Christian Löffler,,,,
k12xWwdBums,Bise,Everlust (Compiled by Seel),Seel,PERE,,,
50QkaRiUJvU,Black Sands,Black Sands,Bonobo,,,,
YLjNcShCHX8,Blue (The Blaze Remix),Blue - The Blaze Remix,Fjord,,,,
d370CKlg-wk,Blue Ridge Mountains,Fleet Foxes,Fleet Foxes,,,,
6xZWW8ZQvVs,僕が死のうと思ったのは - Boku Ga Shinou To Omottanowa,Tough,中岛美嘉,,,,
SIBRmK74Tzk,Boogie Wonderland,Club Columbia,"Earth, Wind & Fire",,,,
9axDWI2fIgs,Border Country,DRIFT Episode 4 “SPACE”,Underworld,Ø [Phase],,,
4JYC7p2wig4,bugbite,comfortable silence,tomcbumpz,,,,
wy1TyL7pI5w,Bump,Tonight EP,Latmun,,,,
0vSmkb_8Zzk,Burundi Dreams,Adventures in Synaptic Exploration,Byron Metcalf,,,,
MBqXa7TtbGQ,Bye Bye Macadam,Tohu Bohu,Rone,,,,
bTvPpX5B0As,Cacao,Cacao,Bóveda Celeste,Arnaldo & Andressa,,,
Nar5x4QDpKw,Calido,Calido,Rey&Kjavik,,,,
ADizF5VGyR0,Calling the plants (Hovering the realms),Hovering the realms,The White Arrow,,,,
Xa19EK2K9iY,Can Cabestany,Imminent Awakening,Lab's Cloud,,,,
ZXnYLlNCkGE,Capuchino Pecho Blanco,A Guide to the Birdsong of South America,Barrio Lindo,,,,
GJsISGNJ7n8,Chable,Chable,Robert Haig Coxon,,,,
LhwLDX9Ak80,Chandni,Mountiri,Rey&Kjavik,,,,
W911mOmu-Xg,Chandni,Mountiri,Rey&Kjavik,,,,
2A_EPgc0l-Y,Change,Dragon New Warm Mountain I Believe in You,Big Thief,,,,
uJNN3-TW9o4,Chasing the Drum - A COLORS SHOW,Chasing the Drum - A COLORS SHOW,Yussef Dayes,,,,
Z-rIvIX1Ddk,Chateau (Holmsey Remix),Chateau (Holmsey Remix),Angus & Julia Stone,,,,
hSJKUpSNf8I,Cielo,Salvaje,Sotomayor,,,,
EAFE-_-rc88,Claire de Lune,Down To Earth,Flight Facilities,Christine Hoberg,,,
hQx6zIUUSfM,寒雨曲,痴痴的等,蔡琴,,,,
vomZVMh65d8,Collider,Immunity,Jon Hopkins,,,,
Ft8lBPRqU6o,Comatose,lowhum,Low Hum,,,,
L2Xf7WNSjbI,Corazón Abierto,Suburban Gypsy: The Becoming,Poranguí,,,,
boW3DeqgJP4,Cuatro Direcciones,Ima Adama,Ayla Schafer,,,,
fF7VPXDJp4k,Cumbia Sobre El Mar,The Power of the Latin Music,Quantic,Flowering Inferno,,,
IbWPLPn9eAc,Custard Speedtalk,"DRIFT Episode 3 ""HEART""",Underworld,,,,
iGbrtvn-JDo,Dance of Maria,Mosaic of the Orient,Elias Rahbani,,,,
HiKWBM4JSOw,Dance of the Seven Sisters,The Jasmani Garden,Deya Dova,,,,
qohjNTMX5zc,Dark Show,Dark Show,AM444,,,,
DpUTe_pZiW0,Dawn Patrol,Isla,Portico Quartet,,,,
tcb4HaT3C1w,Daydream,Dreamlife,Carly Comando,,,,
J8PdCvnpjDs,Deep Visualization,"# Forest (Unique Relaxing Nature Music, Sleep, Relaxation & Meditation)",Close to Nature Music Ensemble,,,,
uOuIgTSyVIk,Devi Prayer,108 Sacred Names of Mother Divine,Craig Pruess & Ananda,,,,
mkRRvpi0-YI,Diladilan,Mountiri,Rey&Kjavik,,,,
V9IcWwqkN58,Distant Sheltered Meditation Part II,Bag of Mysteries,Panda On The Bamboo Tree,,,,
T0o2r89K4Sk,DJ Lover,Welcome EP,Rossi.,,,,
29wsP4VAGoI,Djiin,Sahalé's Finest,Sahalé,,,,
T3f8UJlwf2o,Don't Call My Name,Life & Love,Skinshape,,,,
wb9rPoaGMr4,Don't Fool Me,Don't Fool Me,AM444,Jay.Soul,YEHAIYAHAN,,
R01wU2dMXfc,Don't Fool Me (Acapella Version),Don't Fool Me,AM444,YEHAIYAHAN,,,
RaHk7raDHVQ,Don't Fool Me (Instrumental Version),Don't Fool Me,AM444,Jay.Soul,,,
6rdCxMOkqJI,Dragonfly Realm,Icaro,Maneesh de Moor,,,,
Qm4Y6oquXa4,Dream Prayer (Live),Light Healing (Live Sessions),Chantress Seba,,,,
YwAfi7kU8qA,Dream Structures,IC 1848,Rikaar,,,,
AQ0-q32fxLc,Dropdown Rainbow/All Gummed Up [Gilligan Moss Mix],BMO's Mixtape (Gilligan Moss Mix) (From the Max Original Adventure Time: Distant Lands),Adventure Time,Jeremy Shada,,,
mv7kVEZVRUM,Dub Shivaya,The Rise of Downtempo,Dub Sutra,,,,
7XI4B2ckhog,E.T.,Teenage Dream: The Complete Confection,Katy Perry,Kanye West,,,
f0nyYQk154o,"Earth, Wind, Water",Osmosis,Yatao,Alexander Mercks,,,
b058yYqbb_A,Einaudi: The Path Of The Fossils (Day 1),Seven Days Walking (Day 1),Ludovico Einaudi,Federico Mecozzi,Redi Hasa,,
2xg20wiZG84,El Cant Dels Ocells,El Cant Dels Ocells,Cee ElAssaad,Mario Bianco,,,
CxzHeY-GtDw,El Origen,El Origen,Rodrigo Gallardo,,,,
os92XLJEP-A,Elements,CODES,Activation,,,,
4HGIDcC9xQQ,Enough to Believe (Eagles & Butterflies Remix),Enough to Believe (Remixes),Bob Moses,,,,
mlIMIJIcpn8,Esperanza,Esperanza,Hermanos Gutiérrez,,,,
S91KQ8EQsgE,Eternal Horizons,Kuya Sessions: Akasha,Poranguí,Liquid Bloom,,,
fV9VJJSIgVs,Ewigkeitssekunde E.V.,Inner Landscapes,Softwaver,,,,
zTqdBX5FChw,Exactly as It Is,Temple at Midnight,Miten,,,,
NSN2HezBgiQ,Fade In Nylon,Fade in Nylon,A Beacon School,,,,
_fGUh-gMn3o,Falling Deeper,Ineffababblin',Infinati,,,,
5F_QDg3Q8gs,放了那个作品,AMIT2,AMIT,,,,
rUiFfO5cdgQ,Feel It,Profound Mysteries III,Röyksopp,Maurissa Rose,,,
cT_Q-psbmtY,Feel Your Weight (Poolside Remix),Blood Remixed,Rhye,,,,
M9dUM7gyETk,Fire Gathering (ReGen AtYyA Remix),ReGen: AtYyA Remixes,Liquid Bloom,,,,
zkK-4AW0tAQ,Flores No Mar,Flores No Mar,Populous,Emmanuelle,,,
QkutVj0X1HM,Flying,Flying,Rey&Kjavik,Et Les Amis,,,
_T7qTWBZHJE,Folha de Jurema (Xique-Xique’s Dragonfruit Mix),Folha de Jurema,尼科拉·克鲁兹,Salvador Araguaya,Spaniol,Artéria FM,
dmMppeS_wkc,Footsteps In The Stars,Symbiotic,Deya Dova,,,,
vYD8jHEmiPU,Force,Earth Trilogy - Two,YAIMA,,,,
tpTnKi7cPG4,Friday - 清水翔太 LIVE TOUR 2018“WHITE” - Friday - SHIMIZU SHOTA LIVE TOUR 2018 WHITE,SHIMIZU SHOTA LIVE TOUR 2018 WHITE,清水翔太,,,,
uWCt-uEJbYA,Friend (Lover),Yore,Evenings,,,,
bCVuKPkcpMM,Fugu Kiss,Tohu Bohu,Rone,,,,
fMoupCGttF4,Full Moon Chant,Sisters of the Moon,Heather Houston,,,,
GbUwS10eAGU,Gajumaru,"Klassik Lounge Nightflight, Vol. 8 (Compiled by DJ Nartak)",Yaima,,,,
qTse2hkPxYU,Gajumaru,Pellucidity,YAIMA,,,,
WhPnKDWpA8c,Ganesh Mahamantra - Recitation In Morning,Ganapati,Various Artist,,,,
REkfJwqD9PM,Ganesha (Live),Poranguí (Live),Poranguí,,,,
" -O6dMNizy40",German Clap,Monkeytown,Modeselektor,,,,
oIYFCYKvBHg,Give Me The Room,DRIFT Episode 5 “GAME”,Underworld,Ø [Phase],,,
DEh1VRDPXNY,GLI-F4,Ostriconi,Yeahman,,,,
r3Ur9jQUhlg,GLI-F4,Ostriconi,Yeahman,,,,
QEqj8UUbaYI,Grace,Dreamtime,Christian Amín Vàrkonyi,Sylvia Kirchherr,,,
6uyCRaV0ui4,Grandmother (I Am the Earth),Grandmother (I Am the Earth),Ayla Schafer,,,,
GGMk-f8aB-g,Grandmother Tree & The Feathered Serpent,Symbiotic,Deya Dova,,,,
LKm6gUTDJhA,Great Spirit,Native American Healing Flute,Mandharu,,,,
f3OeXE8oJlM,Green Tara Mantra,Songs Of Tara,His Holiness The Dalai Lama,,,,
LKSgoKYnPJQ,Grey Light (Christian Löffler Remix),Grey Light (Christian Löffler Remix),Christian Löffler,Francesco Tristano,,,
Vn-grKbi3QU,Guajaca,Amansara,Chancha Via Circuito,,,,
rKGiB6tl-w8,Hadoway,Canta Medicina,Maneesh de Moor,,,,
mTx8lH5k8hQ,Hagia Sophia,Seraphim,Irfan,,,,
543ttjTN0JY,Hand Pan for Peace,Hand Pan for Peace,Alexandre Lora,,,,
P6-77a9pGXs,Hare Sharanam,Rkadash,Rey&Kjavik,Amu Ahava,,,
d4MUPdpC-84,Hare Sharanam,Rkadash,Rey&Kjavik,Amu Ahava,,,
MX9R8YSYro8,Haseya,Haseya,Peia,Ajeet,,,
3c_E09gib-Y,Hasty Boom Alert,Lunatic Harness,U-Ziq,,,,
Zb1w7IF5oAE,Heart of the Mother,Kuya Sessions: Akasha,Poranguí,Liquid Bloom,,,
BqqbnkK_U7o,Heart Warriors,A Warning From the Elders,Byron Metcalf,,,,
jDjva_AvQOI,Hip Hop Sleep Relax Chill (HipHop Instrumental),Lo Fi Concentration Lullaby Music For Study & Work (HipHop Focus Beats),Sad Music,Lo Fi Hip Hop,Lofi Sleep Chill & Study,,
xUF8GYB5Qzc,Hoe Piya (Berlin Edit),Hoe Piya,Whoja Vu,,,,
pvC5YD-IjL0,Holocene,"Bon Iver, Bon Iver",Bon Iver,,,,
TeX31vBZU8M,Hologramas,Shika Shika: 5 Years,Federico Estévez,,,,
kZtL8bFZd-Q,Hope,LNLNN,Gidge,,,,
ist5OQ9CA4w,Howling Around My Happy Home,Buck,Daniel Norgren,,,,
NXEOhUnVe8w,HoydeA,夜長夢少,傻子與白痴,,,,
MtlyOYcOwvc,Hypno Seq (Extended Mix),Hypno Seq EP,Martin Roth,,,,
pNDFAdBGdBg,I Am Loving Awareness,Ram Dass,East Forest,Ram Dass,Krishna Das,,
6j7smkc8UUY,I Love You More,Classic Masters,René & Angela,,,,
6HdIEfWC0xA,I Release Control,Living Waters,Alexa Sunshine Rose,,,,
Fg63CDzV3KQ,I'll Take You There,The Trinity,Sean Paul,,,,
0ySSL-NnwzU,I'M STILL HERE,I'M STILL HERE,HAWAI,,,,
ud65SUwZ__w,If I Had a Heart,If I Had a Heart,Tal Barr,,,,
JBi8f7EHgFM,Im Glück,NEU!,NEU!,,,,
nVSFckCSSL4,Imagine,Imagine,Tommy Emmanuel,,,,
V6akbsk39gI,Imon,Not Your Wet Dream,我是機車少女,,,,
oE3KxSh8jKg,in disguise,GOOD LISTENER,tomcbumpz,,,,
Zl37qnTxbzk,Inner Sanctum (Medicine Buddha Mantra Prayer),Inner Sanctum (Medicine Buddha Mantra Prayer),Liquid Bloom,Poranguí,David Satori,,
6IA0FXo0p-s,Intro,Ghetto Kumbé,Ghetto Kumbé,,,,
jt_VGyd9VzU,Intro,我用什么把你留住,福禄寿,,,,
SCx3_c0CYIs,Iris,Iris,Infinati,Dubdelay,,,
bzPFo6JZ00A,It Seemed the Better Way,You Want It Darker,Leonard Cohen,,,,
7PYSe2ugvWs,Jai,Breathing Space,Sacred Earth,,,,
hOMJznTKpsw,Jan Mayen,4,Boozoo Bajou,,,,
iVpSIi_e36s,Janjara,Shaman Drums,James Asher,,,,
zqayYX_zrz8,Jar Of Love,Jar Of Love,椰子水很甜,,,,
E7ifr-aIEiI,Jaula,Fire Hell and Holy Water,Giolì & Assia,,,,
Rq4_GZAYcOI,Joeira,Joeira,Kurup,João Pedreira,,,
joEbyOw00xY,Juliana,Highlights of Bachata Heightz,Bachata Heightz,,,,
POttS2fhwBU,June Park,Warm Waters,madrid,,,,
mXPNKywHrcY,Kahaniyaan,Kahaniyaan,Subhi,kanishk Seth,,,
RPM-NbDuHlM,Kalkutta,Urmel / Kalkutta,okuma,,,,
oObAy19lArQ,Karma,Karma,Beyhude,,,,
lbq9N7J0ONY,Kenangoni,Indómita,Rodrigo Gallardo,ARKADYAN,,,
uNiKpaXKL1c,Kisti To feat. Niloufar,Kisti To,Majnoon,Niloufar,,,
NLnOWnf4bv4,Kiyomizu-Dera,When the World Was One (Special Edition),Matthew Halsall,The Gondwana Orchestra,,,
VZZjSb393L4,Krigsgaldr,Lifa,Heilung,,,,
3A26iLOr598,Kurukulle,Buddha Within Yourself,Lama Tenzin Sangpo,Margot Reisinger,,,
M-9VfUef0cM,Kurukulle Buddha Mantra,Mantras in Tibetan,Imee Ooi,,,,
wPI_31upbGw,La Carnada,Human Nature,Narcisse (Mex),,,,
fAxbNIMQ8kg,La Ecstase,La Ecstase,Marie Davidson,Lamusa II,,,
bP3wD3HTnAo,Lady,Kill For Love,Chromatics,,,,
